German_Lemma,Spanish_Translation
Befürworter,partidario
begegnen,encontrarse
Begeisterung,entusiasmo
begeistert,entusiasmado
Beginn,comienzo
Begleitung,acompañamiento
begleiten,acompañar
begrenzen,limitar
Begründung,justificación
begründen,justificar
begrüßen,saludar
behalten,quedarse
Behandlung,tratamiento
behandeln,tratar
Behandlungsmöglichkeit,opción de tratamiento
behaupten,afirmar
Behindertenwerkstatt,taller para discapacitados
Behinderung,discapacidad
behindern,obstaculizar
Behörde,autoridad
beinahe,casi
Beitrag,contribución
beißen,morder
Bekanntmachung,anuncio
bekanntgeben,anunciar
Bekanntschaft,conocido
Bekleidung,ropa
Belastung,carga
Beleg,recibo
beleidigen,insultar
beliebt,popular
Beliebtheitsskala,escala de popularidad
bemerken,notar
bemühen,esforzar
benachrichtigen,avisar
benötigen,necesitar
Benutzerkonto,cuenta de usuario
Benzin,gasolina
Benzinauto,coches de gasolina
Benzinmotor,motor de gasolina
beobachten,observar
bequem,cómodo
Bequemlichkeit,comodidad
Beratung,asesoramiento
Beratungsagentur,agencia de consultoría
berechnen,calcular
Bereich,zona
Bereicherung,enriquecimiento
Bereichsleiter,jefe de departamento
bereits,ya
Bereitschaft,disposición
Berg,montaña
Bericht,informe
beruflich,profesional
Berufsausbildung,formación profesional
Berufsbereich,campo profesional
Berufsentscheidung,decisión profesional
Berufserfahrung,experiencia profesional
Berufsorientierung,orientación profesional
Berufsorientierungsmesse,feria de orientación profesional
Berufsschule,escuela profesional
berufstätig,que trabaja
Berufswahl,elección profesional
Berufswelt,mundo profesional
Berufswunsch,aspiración profesional
beruhigen,tranquilizar
Berücksichtigung,consideración
berühmt,famoso
Besatzungszone,zona de ocupación
Bescheid,respuesta
beschließen,decidir
Beschreibung,descripción
beschreiben,describir
beschränken,limitar
Beschwerde,queja
Beschwerdebrief,carta de reclamación
beschädigen,dañar
Beschäftigter,empleado
Beschäftigung,ocupación
beschäftigen,ocupar
besichtigen,visitar
besitzen,poseer
besonders,especialmente
Besprechung,reunión
Besprechungstermin,cita de reunión
besorgen,conseguir
besprechen,hablar
Besserung,mejoría
Bestandteil,componente
Bestellformular,formulario de pedido
Bestellung,pedido
Bestellvorgang,proceso de pedido
bestimmen,determinar
Bestätigung,confirmación
bestrafen,castigar
Besucherzelle,celda de visitas
Beteiligter,participante
Beteiligung,participación
beteiligen,participar
Betrag,importe
Betreiber,operador
Betreuer,cuidador
betreuen,cuidar
Betreuung,cuidado
Betrieb,empresa
Betriebsrat,comité de empresa
Betriebswirtschaft,administración de empresas
Betroffener,afectado
betrunken,borracho
betrügen,engañar
Bettflüchter,persona que huye de la cama
Betreffzeile,asunto
Bevölkerung,población
Bevölkerungswachstum,crecimiento demográfico
bevor,antes de
Bewachung,vigilancia
bewegen,mover
Beweggrund,motivo
Beweglichkeit,movilidad
Bewegung,movimiento
Bewegungsstörung,trastorno del movimiento
Beweis,prueba
beweisen,demostrar
Bewerbung,solicitud
Bewerbungsbrief,carta de solicitud
Bewertung,evaluación
Bewohner,habitante
bewölkt,nublado
Beziehung,relación
Bibliothek,biblioteca
bieten,ofrecer
Bildschirm,pantalla
Bildungsabschluss,título educativo
Bildungschance,oportunidad educativa
Bildungserfolg,éxito educativo
Bildungserwartung,expectativa educativa
Bildungswerk,centro de formación
Billett,billete
Bio,ecológico
Biologie,biología
blass,pálido
Blatt,hoja
blind,ciego
Blitz,rayo
blitzen,relampaguear
Blog,blog
blond,rubio
Bluse,blusa
Blutproben,muestras de sangre
Blutzucker,azúcar en sangre
Blutzuckerspiegel,nivel de azúcar en sangre
bluten,sangrar
blöd,tonto
blühen,florecer
Bohne,judía
Botschaft,embajada
Branchenverband,asociación sectorial
braten,freír
brechen,romper
Breite,anchura
Bremse,freno
bremsen,frenar
brennen,arder
Briefkasten,buzón
Brieftasche,cartera
Briefträger,cartero
Briefumschlag,sobre
Brille,gafas
Broschüre,folleto
Brust,pecho
Brötli,panecillo
Brücke,puente
Bub,chico
Buchbesprechung,reseña de libro
buchen,reservar
Buchhandlung,librería
Buchhändlerin,librera
buchstabieren,deletrear
Buffet,bufé
Bundesverband,asociación federal
bunt,de colores
Burg,castillo
Büchse,lata
Bühne,escenario
Bürger,ciudadano
Bürste,cepillo
Cafeteria,cafetería
Chancengleichheit,igualdad de oportunidades
Charakter,carácter
chatten,chatear
Coiffeur,peluquero
Computerspielsucht,adicción a los videojuegos
Container,contenedor
Couvert,sobre
Creme,crema
Cyberangriff,ciberataque
dabei,con
dafür,a favor/en contra
dagegen,en contra
daher,por eso
dahin,hacia allí
damals,entonces
damit,para que
danach,después
dankbar,agradecido
Dankbarkeit,gratitud
Danksagung,agradecimiento
darstellen,representar
Darstellung,representación
dass,que
Datei,archivo
Datensicherheit,seguridad de datos
Datenverarbeitung,procesamiento de datos
Datumsangabe,fecha
Dauer,duración
Dauerbrenner,clásico
dauernd,continuamente
Decke,techo
dekorieren,decorar
Denkmal,monumento
denken,pensar
Denksportaufgabe,rompecabezas
derselbe,el mismo
Desinteresse,desinterés
deshalb,por eso
Dessert,postre
deswegen,por eso
Dialekt,dialecto
Dialog,diálogo
dicht,denso
dick,gordo
Dieb,ladrón
dienen,servir
Dienst,servicio
Dienstleistung,servicio
diesmal,esta vez
digital,digital
Digitalisierung,digitalización
Diplom,diploma
Diplomarbeiten,tesis de grado
direkt,directamente
Direktor,director
Diskriminierung,discriminación
Diskussionsbedarf,necesidad de discusión
diskutieren,discutir
Diät,dieta
doch,sí
Dreck,suciedad
drehen,girar
dringend,urgente
Dringlichkeit,urgencia
drin,dentro
Droge,droga
Drogerie,droguería
drüben,allí
dulden,tolerar
durcheinander,desordenado
Durchführung,realización
Durchmesser,diámetro
Durchschnitt,promedio
durchschnittlich,de media
Durchschnittseinkommen,ingresos medios
Durchschnittstemperatur,temperatura media
Durchsetzungsvermögen,capacidad de imposición
durstig,sediento
duzen,tutear
Dürreperiode,período de sequía
E-Card,tarjeta sanitaria
ebenfalls,igualmente
ebenso,igualmente
EC-Karte,tarjeta de débito
eckig,cuadrado
egal,igual
Ehe,matrimonio
Ehepaar,matrimonio
eher,más bien
ehrlich,honesto
Eierspeise,huevos revueltos
Eifersucht,celos
eignen,ser adecuado
Eile,prisa
eilen,apresurarse
Einbahnstraße,calle de sentido único
einbrechen,robar
Einbrecher,ladrón
Einbruch,robo
eindeutig,claro
Eindruck,impresión
einerseits,por un lado
Einfachheit,simplicidad
Einfahrt,entrada
Einfall,idea
einfallen,ocurrirse
Einfluss,influencia
Einführung,introducción
Einfühlungsvermögen,empatía
einfügen,insertar
einführen,introducir
einheitlich,uniforme
einigen,acordar
Einkauf,compra
Einkaufspassage,centro comercial
Einkommen,ingresos
Einnahme,ingreso
einrichten,amueblar
Einreichung,presentación
Einreise,entrada al país
Einrichtung,mobiliario
einsam,solitario
Einsatzmöglichkeit,posibilidad de uso
einschalten,encender
einschließlich,incluido
Einschränkung,restricción
Einschätzung,evaluación
Einschreiben,carta certificada
einsetzen,utilizar
Einstellung,actitud
einstellen,contratar
Eintragung,inscripción
eintreten,entrar
Einverständnis,consentimiento
Einwegverpackung,envase desechable
Einwohner,habitante
einzahlen,ingresar
Einzahlung,ingreso
Einzel,individual
Einzelheit,detalle
einzig,único
Eisen,hierro
Eisenbahn,ferrocarril
elegant,elegante
elektrisch,eléctrico
Elektro,eléctrico
elektronisch,electrónico
Elternzeit,permiso parental
Empfang,recepción
empfangen,recibir
Empfehlung,recomendación
Empfindung,sensación
endgültig,definitivo
Entdeckung,descubrimiento
entdecken,descubrir
entfernen,quitar
Entfernung,distancia
entgegenkommen,acercarse
enthalten,contener
entlang,a lo largo de
Entlassung,despido
entlassen,despedir
Entscheidung,decisión
entscheiden,decidir
entschließen,decidir
entschlossen,decidido
Entschädigung,compensación
entsorgen,eliminar
entspannend,relajante
Entstehung,origen
entstehen,surgir
Enttäuschung,decepción
enttäuschen,decepcionar
Entwicklung,desarrollo
entwickeln,desarrollar
Entwicklungsland,país en desarrollo
Entwicklungsperspektive,perspectiva de desarrollo
Entzündung,inflamación
Erbrechen,vómito
Erdapfel,patata
Erdbevölkerung,población mundial
ereignen,ocurrir
Ereignis,acontecimiento
Erfahrungsaustausch,intercambio de experiencias
Erfindung,invento
erfinden,inventar
Erfindungsreichtum,inventiva
erfolgreich,exitoso
erforderlich,necesario
erfordern,requerir
Erfüllung,cumplimiento
erfüllen,cumplir
ergänzen,completar
erhalten,recibir
Erholung,recuperación
erholen,recuperar
Erhöhung,aumento
erhöhen,aumentar
Erinnerung,recuerdo
Erkenntnis,conocimiento
erkennen,reconocer
Erklärung,explicación
Erklärungen,explicaciones
Erkältung,resfriado
erkundigen,informar
Erlebnis,experiencia
erleben,experimentar
Erledigung,realización
erledigen,hacer
erleichtern,facilitar
Ermunterung,ánimo
Ernte,cosecha
Ernährung,alimentación
ernähren,alimentar
ernst,serio
ernsthaft,seriamente
Eroberung,conquista
Erpressung,chantaje
Ersatz,reemplazo
erschrecken,asustar
erschöpfen,agotado
ersetzen,reemplazar
erstellen,crear
Erstaunen,asombro
Erwartung,expectativa
Erwerbsarbeit,trabajo remunerado
Erwerbstätigkeit,actividad laboral
erwachsen,adulto
Erzeugnis,producto
Erzeugung,producción
Erziehung,educación
erziehen,educar
Erziehungsfragen,cuestiones educativas
Erzählung,narración
Eröffnung,inauguración
eröffnen,abrir
Essig,vinagre
Etage,piso
etwa,aproximadamente
eventuell,eventualmente
ewig,eterno
Examen,examen
Experiment,experimento
Experte,experto
Expertise,experiencia especializada
Export,exportación
extra,extra
extrem,extremo
Fabel,fábula
Facharbeit,trabajo especializado
Fachbereich,área de estudio
Fachleute,expertos
Fachliteratur,literatura especializada
Fachmann,especialista
Fahrbahn,calzada
Fahrschülerin,alumna de conducción
Fahrzeug,vehículo
fair,justo
Faktor,factor
Familienbesuch,visita familiar
Familiengründung,fundación de familia
fangen,coger
Fantasie,fantasía
farbig,de color
Faschiertes,carne picada
Fasching,carnaval
Fasnacht,carnaval
fassen,coger
Faulenzertum,holgazanería
faulenzen,holgazanear
Fauteuil,sillón
Fehlentscheidung,decisión equivocada
Feierabend,fin de la jornada laboral
Feiertag,día festivo
Feld,campo
Ferienreise,viaje de vacaciones
Fernbedienung,mando a distancia
Fernbeziehung,relación a distancia
Fertigstellung,finalización
Fertigung,fabricación
Festanstellung,empleo fijo
festhalten,sujetar
festlegen,fijar
festnehmen,detener
Festplatte,disco duro
festsetzen,establecer
feststehen,estar claro
Feststellung,constatación
feststellen,constatar
feucht,húmedo
Feuerholz,leña
Feuerwehr,bomberos
Feuerwerk,fuegos artificiales
Feuerzeug,mechero
Fieberthermometer,termómetro
Figur,figura
Finanzen,finanzas
finanziell,financiero
finanzieren,financiar
Fingerspitzengefühl,tacto
Firmenkultur,cultura empresarial
flach,plano
Fleck,mancha
Fleischhauer,carnicero
flexibel,flexible
fliehen,huir
fließen,fluir
fließend,con fluidez
Flucht,huida
Fläche,superficie
Flöte,flauta
Flüssigkeit,líquido
Folge,consecuencia
folgend,siguiente
Forderung,exigencia
fordern,exigir
Form,forma
Forschung,investigación
forschen,investigar
Forschungseinrichtung,centro de investigación
Forschungsteam,equipo de investigación
Fortbildung,formación continua
Fortschritt,progreso
Fortsetzung,continuación
fortsetzen,continuar
Forum,foro
Forumsbeitrag,entrada en el foro
Fotograf,fotógrafo
Fotografie,fotografía
frech,descarado
Freiheit,libertad
Freizeitkleidung,ropa informal
fressen,comer (animales)
Freude,alegría
Freundlichkeit,amabilidad
Freundschaft,amistad
Freundschaftsanfrage,solicitud de amistad
Freundschaftspreis,precio de amigo
Friede,paz
frieren,tener frío
Friseur,peluquero
Frist,plazo
Frisur,peinado
Frucht,fruta
fröhlich,alegre
Frühbucherrabatt,descuento por reserva anticipada
Fundbüro,oficina de objetos perdidos
funktionieren,funcionar
Fußgänger,peatón
Fußgängerzone,zona peatonal
Fähigkeit,habilidad
Fähre,ferry
fällig,vencido
Fördermaßnahme,medida de fomento
Förderung,fomento
fördern,fomentar
Führerausweis,permiso de conducir
Führerschein,carné de conducir
Führungskraft,ejecutivo
führen,guiar
fürchten,temer
füttern,alimentar
Galerie,galería
Gang,pasillo
Garantie,garantía
garantieren,garantizar
Garderobe,guardarropa
Gas,gas
Gasthaus,posada
Gaststätte,restaurante
Gebiet,zona
Gebirge,montaña
Gebrauchsanweisung,instrucciones de uso
gebrauchen,usar
Geburt,nacimiento
Gebäck,pastelería
Gebäude,edificio
Gebühr,tasa
Gedicht,poema
Geduld,paciencia
Gefahr,peligro
gefangen,capturado
Gefängnis,cárcel
Gefühl,sentimiento
Gegend,zona
Gegensatz,contraste
Gegenstand,objeto
Gegner,oponente
Gehalt,sueldo
geheim,secreto
Geheimnis,secreto
Gehsteig,acera
Geisteswissenschaft,humanidades
Geldautomat,cajero automático
Gelegenheit,oportunidad
gelingen,lograr
gemeinsam,en común
Gemeinschaft,comunidad
Gemüt,ánimo
gemütlich,acogedor
genehmigen,autorizar
Generation,generación
genießen,disfrutar
genügen,bastar
gerecht,justo
gering,escaso
Geschlecht,sexo
Geschmack,sabor
Geschwindigkeit,velocidad
Geschwindigkeitsbeschränkung,límite de velocidad
Gesellschaft,sociedad
Gesetz,ley
gespannt,expectante
Gewalt,violencia
Gewerkschaft,sindicato
Gewissen,conciencia
Hafen,puerto
Hardware,hardware
Huhn,pollo
Humor,humor
Identitätskrise,crisis de identidad
Kampf,lucha
Kohle,carbón
kündigen,despedir
Lächeln,sonrisa
Machenschaften,maquinaciones
Medium,medios
Medizin,medicina
Misstrauen,desconfianza
Mist,mierda
Neffe,sobrino
Nichte,sobrina
Nutzen,beneficio
obwohl,aunque
Parameter,parámetro
Postmoderne,posmodernidad
Präsident,presidente
Rasen,césped
retten,salvar
Sackgasse,callejón sin salida
Salmonellenvergiftung,intoxicación por salmonela
Schaden,daño
scheiden,divorciar
Schlagzeile,titular
schlagen,golpear
Schutz,protección
Schweigen,silencio
Segen,bendición
seitdem,desde entonces
Serie,serie
Sozialkunde,educación social
Spionage,espionaje
Sprachbarriere,barrera idiomática
Staatsbürgerschaft,ciudadanía
Staatssicherheit,seguridad del estado
Stabilität,estabilidad
Stahl,acero
Stamm,tribu
Stand,posición
Standard,estándar
Standardisierung,estandarización
Station,estación
Statistik,estadística
Status,estado
Statussymbol,símbolo de estatus
Stellenwert,importancia
Stellung,posición
Stern,estrella
Steuer,impuesto
Steuererhöhung,aumento de impuestos
Steuerpolitik,política fiscal
Steuervermeidung,evasión fiscal
Stigmatisierung,estigmatización
Stil,estilo
Stimmung,estado de ánimo
Stipendium,beca
Stoff,material
Stolz,orgullo
Strafe,castigo
Strategie,estrategia
Streit,disputa
Strom,corriente
Struktur,estructura
Strukturwandel,cambio estructural
Stufe,escalón
Sturm,tormenta
Substanz,sustancia
Subvention,subvención
Suche,búsqueda
Suchtverhalten,comportamiento adictivo
Symbol,símbolo
Symbolik,simbolismo
Sympathie,simpatía
System,sistema
Säkularisierung,secularización
Süden,sur
Tabelle,tabla
Taktik,táctica
Tal,valle
Talent,talento
Tanz,baile
Tat,acto
Tatsache,hecho
tatsächlich,realmente
Technologie,tecnología
Temperament,temperamento
Temperatur,temperatura
Tempo,tempo
Tendenz,tendencia
Terror,terror
Terrorismus,terrorismo
Theateraufführung,representación teatral
Theorie,teoría
Therapie,terapia
Toleranz,tolerancia
Ton,tono
Totalitarismus,totalitarismo
Tradition,tradición
Tragödie,tragedia
Transformation,transformación
Transparenz,transparencia
Transport,transporte
Traumatisierung,traumatización
Trend,tendencia
Trennung,separación
Treue,lealtad
Triumph,triunfo
Truppe,tropa
Turbokapitalismus,turbocapitalismo
Typ,tipo
Umbruch,cambio radical
Umfrage,encuesta
Umgang,trato
Umgebung,entorno
Umgestaltung,reestructuración
Umsatz,facturación
Umschulung,reconversión profesional
Umstand,circunstancia
Umverteilung,redistribución
Umwelt,medio ambiente
Umweltbelastung,carga ambiental
Umweltpolitik,política ambiental
Umweltschutz,protección ambiental
Umweltverschmutzung,contaminación ambiental
Umweltverträglichkeit,compatibilidad ambiental
Unabhängigkeit,independencia
unentschieden,indeciso
Ungeduld,impaciencia
Ungewissheit,incertidumbre
Ungleichheit,desigualdad
Universität,universidad
Unkraut,hierba mala
Unruhe,inquietud
Unsicherheit,inseguridad
Unterbrechung,interrupción
Untergang,caída
Unterhaltung,entretenimiento
Unternehmensführung,dirección empresarial
Unternehmenskultur,cultura empresarial
Unternehmergeist,espíritu empresarial
Unterstützung,apoyo
Untersuchung,investigación
Ursache,causa
Urteil,juicio
Vandalismus,vandalismo
Variation,variación
Verantwortung,responsabilidad
Verarbeitung,procesamiento
Verband,asociación
Verbesserung,mejora
Verbindung,conexión
Verbrechen,crimen
Verdacht,sospecha
Verfahren,procedimiento
Verfügung,disponibilidad
Vergangenheit,pasado
Vergleich,comparación
Verhalten,comportamiento
Verhältnis,relación
Verlangen,deseo
Verlauf,curso
Verletzung,lesión
Verlust,pérdida
Vermögen,patrimonio
Vernunft,razón
Verpflichtung,obligación
Verrücktheit,locura
Verschmutzung,contaminación
verschwinden,desaparecer
Versicherung,seguro
Version,versión
Versprechen,promesa
Verstand,entendimiento
Verständnis,comprensión
Verstärkung,refuerzo
Versuch,intento
Verteidigung,defensa
vertrauen,confiar
Verwaltung,administración
Verwendung,uso
Verzweiflung,desesperación
Veränderung,cambio
Video,vídeo
Vieh,ganado
Virus,virus
Vision,visión
Volk,pueblo
Vollendung,perfección
Voraussetzung,requisito
Vorbereitung,preparación
Vorbild,modelo
Vorfall,incidente
Vorgang,proceso
Vorhaben,proyecto
Vorliebe,preferencia
Vorstellung,idea
Vorteil,ventaja
Vorurteil,prejuicio
Waffe,arma
Wahl,elección
Wahrheit,verdad
Wahrnehmung,percepción
Wahrscheinlichkeit,probabilidad
Wandel,cambio
Warnung,advertencia
Wartung,mantenimiento
Website,sitio web
Wechsel,cambio
Weh,dolor
Wehr,defensa
Weise,manera
Weisheit,sabiduría
Wende,giro
Wendung,giro
Werbung,publicidad
Werk,obra
Werkzeug,herramienta
Wert,valor
Wesen,ser
Westen,oeste
Wichtigkeit,importancia
Widerspruch,contradicción
Widerstand,resistencia
Wiederholung,repetición
Winter,invierno
Wirklichkeit,realidad
Wirkung,efecto
Wirtschaft,economía
Wissenschaft,ciencia
Woche,semana
Wunder,milagro
Wurzel,raíz
Wut,ira
während,mientras
Wärme,calor
Zerstörung,destrucción
Zins,interés
Zitat,cita
Zone,zona
Zufall,casualidad
Zufriedenheit,satisfacción
Zugang,acceso
Zulassung,admisión
Zusammenarbeit,cooperación
Zusammenhang,contexto
Zustand,estado
Zustimmung,aprobación
Zweck,propósito
Zweifel,duda
Zwilling,gemelo
Zwischenfall,incidente
Änderung,cambio
ähnlich,parecido
ängstlich,miedoso
Ärger,enfado
ärgerlich,fastidioso
Ästhetik,estética
äußerlich,externo
Öffentlichkeit,opinión pública
Öffentlichkeitsarbeit,relaciones públicas
Ökologie,ecología
Ökonomie,economía
Überalterung,envejecimiento
Überblick,resumen
Übergang,transición
Übergangszeit,período de transición
Überlegung,consideración
Übernahme,adquisición
Überraschung,sorpresa
Übertragung,transmisión
Übertreibung,exageración
Überzeugung,convicción
Übung,ejercicio
Übersicht,resumen
abbrechen,interrumpir
Abbruch,cancelación
Abgang,salida
abgefahren,alucinante/salido
abgelenkt,distraído
abhalten,impedir/celebrar
abhauen,largarse
Abhärtung,endurecimiento
Abkommen,acuerdo
Abkürzung,abreviación
Ablauf,transcurso
ablegen,quitarse (ropa)/depositar
ableiten,derivar
Ablenkung,distracción
abnehmen,adelgazar
Abneigung,aversión
Absage,cancelación
abschirmen,proteger
abschneiden,resultado
Abschätzung,estimación
absichtlich,adrede
Absolvent,graduado
Abstieg,descenso
Abtreibung,aborto
Abwandlung,variación
Abwechslung,alternancia
Abwehr,defensa
Abwesenheit,ausencia
Abwicklung,procesamiento
Achse,eje
acht,ocho
achtbar,respetable
Achtsamkeit,atención plena
Ader,vena
Adler,águila
Adoptionsgesetz,ley de adopción
Affirmation,afirmación
Affäre,asunto
Agent,agente
Agenten,agentes
Agentur,agencia
Aggravation,agravación
Aggression,agresión
akkurat,preciso
Aktie,acción
aktiviert,activado
Aktivismus,activismo
Aktivist,activista
Aktualität,actualidad
Akzent,acento
Akzeptanz,aceptación
akzeptiere,acepto
albern,tonto/ridículo
Alibi,coartada
Allergie,alergia
alles,todo
Alltagssprache,lenguaje cotidiano
allzu,demasiado
Alternation,alternancia
Ambition,ambiciones
Ambivalenz,ambivalencia
Amplifizierung,amplificación
Amtszeit,mandato
Analogie,analogía
Analyse,análisis
Anarchie,anarquía
Anbau,cultivo
Anblick,vista
Andeutung,insinuación
Anfall,ataque
angeboten,ofrecido
Angelegenheit,asunto
angelogen,mentido
angeschossen,herido de bala
angestellt,empleado/hecho
Angreifer,atacante
Angriffe,ataques
anhalten,parar/detener
Anklage,acusación
ankommt,llega
Anlass,ocasión
Anmaßung,presunción
Anmerkung,nota
Anonymität,anonimato
Anordnung,orden
Anpassung,adaptación
Anregung,sugerencia
Anreise,viaje de ida
ans,a el/al (an das)
Anschlag,ataque
Ansicht,opinión
Anspannung,tensión
Anspruchslosigkeit,modestia
anspruchsvoll,exigente
anstatt,en lugar de
ansteckend,contagioso
Anstellung,empleo
Anteil,parte
Anteilnahme,participación
Antibiotikum,antibiótico
Antike,antigüedad
Antipathie,antipatía
antreten,competir/empezar (un servicio)
antwortet,responde
Anweisung,instrucción
Anzahl,cantidad/número
Anzeichen,señal
Apologetik,disculpas
Apparatur,aparato
Arbeiterschaft,clase obrera
arbeitest,trabajas
Arbeitsethik,ética laboral
Architektur,arquitectura
Archäologie,arqueología
Arena,arena
Argument,argumento
Argumentation,argumentación
Armee,ejército
Armut,pobreza
Arroganz,arrogancia
Artenschutz,protección de especies
Artikelschreiber,articulista
Artikulation,articulación
Asche,ceniza
Aspekt,aspecto
Assistent,asistente
Asthma,asma
Astrologie,astrología
Asynchronität,asincronía
Atlas,atlas
atme,respiro
atmet,respira
Atmosphäre,atmósfera
Attraktion,atracción
Aufbau,construcción
Aufbereitung,preparación
Aufbewahrung,conservación
aufeinander,uno encima del otro
Auflage,edición
auflegen,colgar/poner
Auflösung,resolución
aufmachen,abrir
Aufmerksamkeitsdefizit,déficit de atención
Aufrichtigkeit,sinceridad
Aufsatz,ensayo
Aufsicht,supervisión
Aufwand,esfuerzo
Aufwertung,revalorización
aufzuhalten,detener
Ausbau,expansión
Ausdauer,resistencia
ausdrucksvoll,expresivo
Auseinandersetzung,confrontación
Ausfall,fallo
Ausgangspunkt,punto de partida
ausgemacht,apago/acordado
ausgeraubt,robado
ausgesehen,parecido/visto
Ausgewogenheit,equilibrio
aushalten,soportar
auskommen,arreglárselas
Auslese,selección
Ausländerfeindlichkeit,xenofobia
Ausprägung,manifestación
Ausrede,excusa
Ausreden,excusas
Ausrichtung,orientación
aussieht,se ve/parece
Ausstattung,equipamiento
Austausch,intercambio
Austrag,resolución
Ausweg,salida
Authentizität,autenticidad
Autogramm,autógrafo
Autonomie,autonomía
Autorisation,autorización
Autorität,autoridad
Avantgarde,vanguardia
Bach,arroyo
Bachelor,licenciatura
Bagatelle,bagatela
Bakterie,bacteria
Balance,equilibrio
Ballast,lastre
Bankenwesen,sistema bancario
Bankrott,bancarrota
Baron,barón
Basis,base
Basisdemokratie,democracia de base
Bastarde,bastardos
Bauindustrie,industria de construcción
Bauwerk,edificación
Beamten,funcionarios
Bearbeitung,procesamiento
Becher,taza/vaso
Bedachtsamkeit,prudencia
bedeutet,significa
Bedeutsamkeit,importancia
Bedrohung,amenaza
beeindrucken,impresionar
beeindruckend,impresionante
Beendigung,terminación
Befangenheit,parcialidad
Befehl,orden
befindet,se encuentra/está
Befragung,encuesta
befreit,liberado
Befriedigung,satisfacción
Befähigung,capacidad
Befürwortung,apoyo
Begabtenförderung,promoción de talentos
Begabung,talento
beginne,empiezo
Begleiterscheinung,fenómeno acompañante
Begrenzung,limitación
Begriff,concepto
begriffen,comprendido
behandelt,tratado
Behauptung,afirmación
beherrscht,domina
beiden,ambos
beides,ambos/las dos cosas
Beifall,aplauso
Beistand,asistencia
bekannten,conocidos
Bekenntnis,confesión
Bekämpfung,lucha
Belastbarkeit,resistencia
Belegschaft,plantilla
Beleidigung,insulto
Beleuchtung,iluminación
Belohnung,recompensa
bemerkt,notado
Bemerkung,observación
Bemühung,esfuerzo
Benachrichtigung,notificación
Benachteiligung,desventaja
benehmen,comportarse
benimmst,comportas
Benutzer,usuario
benutzte,usó
Beobachtung,observación
Berechtigung,autorización
bereite,preparo
bereiten,preparar
bereue,arrepiento
bereuen,arrepentirse
Bergbau,minería
berge,montañas
Berichterstattung,cobertura informativa
berichtet,informa
Berufung,vocación
Berühmtheit,celebridad
Berührung,contacto
besagt,dice/reza (un texto)
Beschilderung,señalización
beschwert,quejado
beseitigen,eliminar
Besiedlung,colonización
Besitz,posesión
Besitzer,propietario
Besonderheit,particularidad
Besorgnis,preocupación
besseren,mejores
Bestand,existencia
Bestechung,soborno
Besteck,cubiertos
bestens,lo mejor posible
bestie,bestia
bestimmt,seguro/determinado
bestimmte,determinada
bestimmten,determinados
bestimmtes,determinado/cierto
Bestimmung,determinación
Bestrebung,aspiración
Beständigkeit,constancia
Besucher,visitante
betracht,consideración
betrachten,contemplar
Betrachtung,consideración
betrifft,concierne/afecta
betroffen,afectado
Betrug,fraude
beunruhigt,preocupado
Beurteilung,evaluación
Bevormundung,tutela
Bevorzugung,preferencia
bewegt,movido
bewegungen,movimientos
Bewerber,candidato
Bewunderung,admiración
bewusst,consciente
Bewusstsein,conciencia
Bewältigung,superación
bezahle,pago
Bezeichnung,denominación
Bezug,referencia
Bezugnahme,referencia
bezweifle,dudo
Bibliographie,bibliografía
Bildhauer,escultor
Bildung,educación
Bildungsgrad,nivel educativo
Bildungswesen,sistema educativo
billigen,baratos
Billion,billón
bin,soy/estoy
Binnenmarkt,mercado interno
Biografie,biografía
Biographie,biografía
Biotechnologie,biotecnología
Bit,bit
blasen,soplar/burbujas
bleibst,te quedas
bleibt,permanece/se queda
blicken,mirar
Blickwinkel,punto de vista
Blindheit,ceguera
Block,bloque
Blockade,bloqueo
blocks,manzanas/bloques
blutet,sangra
bohnen,judías
Bombe,bomba
Bonität,solvencia
Boulevard,bulevar
boxer,boxeador
Boxkampf,combate de boxeo
brachten,trajeron
Branche,sector
Brand,incendio
Brandstiftung,incendio provocado
Brauch,costumbre
braver,bueno/obediente
Brei,papilla
Brennstoff,combustible
briefe,cartas
Brutalität,brutalidad
Bruttoeinkommen,ingresos brutos
Bruttosozialprodukt,producto interior bruto
Buchführung,contabilidad
buddy,amigo/colega
Bundesrat,consejo federal
bunker,búnker
Börsencrash,crash bursátil
Bündnis,alianza
Bürgerkrieg,guerra civil
Bürgermeister,alcalde
Bürgertum,burguesía
Bürokratie,burocracia
Charakterisierung,caracterización
checken,comprobar
chefin,jefa
Chemie,química
Chirurg,cirujano
Chirurgie,cirugía
ciao,chao
cm,cm
Code,código
Computergrafik,gráficos por ordenador
dachte,pensaba
dadurch,a través de eso
Dampf,vapor
darin,ahí dentro
Darlehen,préstamo
das,el/lo (artículo)
Daten,datos
Datenbank,base de datos
Datenschutz,protección de datos
dauerte,duró
Daumen,pulgar
Debatte,debate
Debüt,debut
Deckung,cobertura
Definition,definición
Defizit,déficit
deinetwegen,por tu culpa
deins,tuyo
Dekade,década
demokratie,democracia
Demokratisierung,democratización
Demonstration,manifestación
Demut,humildad
denke,pienso
Denkmuster,patrón de pensamiento
Deponie,vertedero
Deportation,deportación
Depression,depresión
deprimiert,deprimido
der,el (artículo)
Deregulierung,desregulación
derselben,de la misma
Despotismus,despotismo
Detail,detalle
